Gender,GivenName,MiddleInitial,Surname,StreetAddress,City,State,ZipCode,CountryFull,EmailAddress,Username,Password,TelephoneNumber,Birthday,Company,Latitude,Longitude
female,Tammy,J,Moy,4783 Henery Street,Wichita,KS,67202,United States,TammyJMoy@gustr.com,Niumor,Xoo3jae3eiv,316-765-8145,2/16/1970,Weingarten's,37.668672,-97.319657
female,Mattie,J,Smith,813 Sherman Street,Troy,KS,66087,United States,MattieJSmith@jourrapide.com,Worence,uCoh3bei1ee,785-985-8568,1/15/1960,Dreamscape Garden Care,39.802583,-95.169041
female,Cynthia,G,Ortiz,4989 Lighthouse Drive,Branson,MO,65616,United States,CynthiaGOrtiz@superrito.com,Blaying,oothae7Ai,417-316-4187,9/5/1928,Tech Hifi,36.658486,-93.193895
female,Jean,V,Rogers,216 Lighthouse Drive,Springfield,MO,65804,United States,JeanVRogers@teleworm.us,Mact1963,ies8ifeT,417-349-1843,12/5/1963,Plan Smart Partner,37.142731,-93.260362
female,Dawn,W,Jones,4314 Twin House Lane,Springfield,MO,65806,United States,DawnWJones@rhyta.com,Stalow,shegh0Xavae,417-425-5799,9/2/1973,Soft Warehouse,37.27486,-93.327615
male,Antonio,C,Griffin,4382 Sherman Street,Denison,KS,66419,United States,AntonioCGriffin@teleworm.us,Pritioneatch58,ieng7IZaem,785-935-6046,4/11/1958,Specific Appraisals,39.344056,-95.547216
female,Josette,R,Cowgill,850 Maple Court,Risco,MO,63874,United States,JosetteRCowgill@gustr.com,Yousit1968,theeKu1ja9,573-396-7718,2/17/1968,Naugles,36.495483,-89.802758
female,Regina,T,Morrison,3907 Lighthouse Drive,Wheatland,MO,65779,United States,ReginaTMorrison@superrito.com,Wasooked,eepae2uHei3,417-282-1056,3/27/1941,Fedco,37.898136,-93.305777
female,Ashley,D,Houser,2276 Better Street,Kansas City,KS,66215,United States,AshleyDHouser@dayrep.com,Nowasivem,aisheiV6z,913-269-4333,9/28/1936,Matrix Interior Design,39.029122,-94.689609
male,Casey,A,McChesney,570 Ash Avenue,Saint Louis,MO,63130,United States,CaseyAMcChesney@gustr.com,Anown1954,Faez5audae,314-933-0781,4/16/1954,Matrix Architectural Service ,38.735808,-90.233737
male,Paul,K,Lowry,4853 Rodney Street,Portage Des Sioux,MO,63373,United States,PaulKLowry@cuvox.de,Rustred,oomae3UFau,636-434-6042,1/6/1973,Budget Power,38.994556,-90.493004
male,Richard,J,Cruz,1593 Mandan Road,New Madrid,MO,63869,United States,RichardJCruz@dayrep.com,Wriand,ooT2chie5,573-748-0347,9/10/1984,Musicland,36.608772,-89.513219
male,Gerald,A,Langston,2977 Better Street,Olathe,KS,66061,United States,GeraldALangston@superrito.com,Lieforly,auPhee1oh,913-324-7599,3/10/1973,Pak and Save,38.966575,-94.838996
male,Gustavo,J,Rudd,2841 Breezewood Court,Pretty Prairie,KS,67570,United States,GustavoJRudd@dayrep.com,Sicame,aibieFing2,620-459-4238,12/8/1940,Laura Ashley Mother & Child,37.825423,-97.940509
female,Amy,E,Heron,4330 Chandler Drive,Lowry City,MO,64763,United States,AmyEHeron@rhyta.com,Hingday,gohzaef4buJ4,417-644-6191,11/3/1932,Rack N Sack,38.073858,-93.785559
female,Martha,M,Burton,2881 Maple Court,Camdenton,MO,65020,United States,MarthaMBurton@superrito.com,Suffected,eec4eisaeWu,573-346-9207,9/17/1963,Tam's Stationers,37.922196,-92.851826
female,Jerrie,J,Lydon,2353 Loving Acres Road,Kansas City,MO,66210,United States,JerrieJLydon@cuvox.de,Evould,ohSheij1aHoh,816-935-6978,12/27/1940,Giant Open Air,39.093903,-94.754435
male,Matthew,L,Breeden,1117 Ridge Road,Caldwell,KS,67022,United States,MatthewLBreeden@einrot.com,Onegalk,eivaeL6ai,620-845-6627,6/5/1966,Food Giant,37.192043,-97.540989
male,Danny,T,McKee,753 Sigley Road,Hays,KS,67601,United States,DannyTMcKee@cuvox.de,Fait1973,Be2Loo6eimie,785-625-8609,11/20/1973,Avant Garde Appraisal Group,38.982799,-99.255681
male,Howard,K,Hoyle,1658 Oliverio Drive,Moundridge,KS,67107,United States,HowardKHoyle@rhyta.com,Thoice69,ho6ahhe1Ai,620-640-8990,9/11/1969,Team Electronics,38.177697,-97.552069
male,Darrell,S,Arango,2686 Henery Street,Wichita,KS,67202,United States,DarrellSArango@jourrapide.com,Prity1976,im7Feip1,316-734-3799,11/16/1976,Mr Fables,37.762895,-97.378163
male,Marc,R,Valencia,4529 Maloy Court,Manhattan,KS,66502,United States,MarcRValencia@armyspy.com,Hured1957,ahcain9liSie,785-395-0489,7/10/1957,Present Company,39.086577,-96.544275
male,Vito,B,Dunbar,4170 Big Elm,Kansas City,MO,64134,United States,VitoBDunbar@armyspy.com,Themart,Az7aiy6gezie,816-765-6780,2/8/1958,Silverwoods,38.894423,-94.575852
female,Brittney,J,Judd,4228 John Daniel Drive,Jefferson City,MO,65101,United States,BrittneyJJudd@fleckens.hu,Buttim,quilieYae9,573-632-9678,4/11/1980,Netcom Business Services,38.561518,-92.220288
male,Steve,T,Lovell,4023 Twin House Lane,Purdy,MO,65734,United States,SteveTLovell@rhyta.com,Comfor,ow9ail9Saa3,417-442-0974,11/25/1944,Exact Realty,36.726643,-93.965062
male,Jonathan,D,Nelson,4935 Tree Frog Lane,Plattsburg,MO,64477,United States,JonathanDNelson@gustr.com,Xxxxxis,Hohvaev1ug,816-539-2758,2/20/1956,Hechinger,39.579848,-94.445716
male,Joe,I,Hasse,4282 John Daniel Drive,Senath,MO,63876,United States,JoeIHasse@teleworm.us,Vailes,yoohoi6uCh,573-738-6438,2/11/1980,Master Builder Design Services,36.105603,-90.113318
male,Ron,V,Conner,2119 Breezewood Court,Piqua,KS,66761,United States,RonVConner@superrito.com,Onancery,tohthai1V,620-468-4134,4/5/1963,Showbiz Pizza Place,37.965346,-95.577736
male,Mark,K,Miller,3986 Traders Alley,Harrisonville,MO,64701,United States,MarkKMiller@einrot.com,Sman1973,ib2bexae6Se,816-380-8967,6/8/1973,Golden Joy,38.642368,-94.328619
male,Jason,L,Scanlon,4708 Maloy Court,Longford,KS,67458,United States,JasonLScanlon@jourrapide.com,Wearprapart,Phi1kee2,785-388-4847,10/3/1957,Express Merchant Service,39.215635,-97.182273
female,Tammy,B,Kenney,171 White Oak Drive,Lathrop,MO,64465,United States,TammyBKenney@superrito.com,Parsten,Ae5fo8Een9A,816-740-6334,9/24/1961,Deco Refreshments Inc.,39.595242,-94.30311
female,Sheila,J,Rivas,709 Hummingbird Way,Abilene,KS,67410,United States,SheilaJRivas@dayrep.com,Slions,ohvohleW6,785-200-7983,4/11/1970,Erol's,39.083137,-97.218189
male,Michael,J,Sierra,4201 Ridge Road,Belle Plaine,KS,67013,United States,MichaelJSierra@cuvox.de,Prited1990,Ohthei4eeboo,620-790-2614,2/25/1990,Dahlkemper's,37.289993,-97.211418
male,Victor,M,Klatt,830 Maloy Court,Russell,KS,67665,United States,VictorMKlatt@dayrep.com,Loter1953,Fohweeb1no,785-445-6544,4/24/1953,Architectural Genie,38.825941,-98.848546
male,Robert,L,Leon,136 Oak Ridge Drive,Stlouis,MO,63101,United States,RobertLLeon@fleckens.hu,Demusbace,Qui3Ti9Coh5,573-590-4063,12/20/1964,Greyvoid,38.570605,-90.156766
female,Mickey,R,Hinderliter,2231 Briarwood Road,Joplin,MO,64804,United States,MickeyRHinderliter@gustr.com,Wherfust83,oes9kaaMu,417-850-5724,7/11/1983,Star Bright Investment Group,37.039371,-94.517314
male,Jose,D,Doyle,1044 Sigley Road,Manhattan,KS,66502,United States,JoseDDoyle@teleworm.us,Trage1950,kaHieP4foh,785-532-9771,10/25/1950,Maxi-Tech,39.198861,-96.500627
female,Theresa,J,Burris,2679 Big Elm,Overland Park,MO,64110,United States,TheresaJBurris@gustr.com,Mortak,mooP5Vei,816-808-6914,5/24/1993,The Warner Brothers Store,38.866342,-94.674094
female,Florence,W,Harris,1430 Loving Acres Road,Lenexa,MO,66215,United States,FlorenceWHarris@cuvox.de,Lacy1943,ughohroPh1,816-956-2515,11/8/1943,Total Quality,38.876608,-94.761856
female,Pauline,W,Brown,925 Bruce Street,Saint Louis,MO,63141,United States,PaulineWBrown@jourrapide.com,Entriank,fethoopeY4,314-372-9479,2/13/1970,Paper Cutter,38.644636,-90.437868
female,Josephine,K,Prater,4625 Maloy Court,Topeka,KS,66605,United States,JosephineKPrater@dayrep.com,Undest32,IeSh7Uuth,785-440-1488,10/20/1932,County Market,39.003685,-95.703204
male,Werner,J,Smith,280 Fairmont Avenue,Kirksville,MO,63501,United States,WernerJSmith@fleckens.hu,Thenandtor,aighie9joCih,660-341-4950,1/23/1995,The Lawn Guru,40.105082,-92.692185
female,Christine,J,Ries,2726 Fairmont Avenue,Kansas City,MO,64106,United States,ChristineJRies@teleworm.us,Lecoany,Ahgibeigh9j,660-240-1522,5/1/1944,Second Time Around,39.114485,-94.475403
male,Carlos,S,Laney,2887 Maloy Court,Holton,KS,66436,United States,CarlosSLaney@teleworm.us,Werse1947,eeQuo6xeibai,785-364-0818,9/21/1947,Star Merchant Services,39.420683,-95.690873
female,Dion,R,Pesce,1325 Nicholas Street,Topeka,KS,66605,United States,DionRPesce@cuvox.de,Luche1978,yoo7ASh6,785-290-1121,6/9/1978,Alexander's,38.975412,-95.571524
female,Marianne,J,Lane,3155 Sharon Lane,Sullivan,MO,63080,United States,MarianneJLane@einrot.com,Tuentaideme,yuu0Shoo,573-927-1499,6/4/1993,Big Daddy's Restaurants,38.294898,-91.138416
female,Deanna,R,Rego,485 Oliverio Drive,Bushton,KS,67427,United States,DeannaRRego@armyspy.com,Whimse,yu1caeD5ei,620-562-9709,10/11/1984,Record Town,38.59816,-98.322841
male,Randall,D,Boyer,3673 Big Elm,Richmond,MO,64085,United States,RandallDBoyer@jourrapide.com,Posucheen,iHaehu7Ee,816-776-4066,6/6/1954,J. Riggings,39.351452,-93.964796
female,Agnes,R,Savino,4226 Traders Alley,Kansas City,MO,64106,United States,AgnesRSavino@cuvox.de,Lande1948,uol5Eech6,816-338-7472,9/3/1948,Sunny's Surplus,39.06729,-94.515594
female,Martha,E,Gupta,2696 Mandan Road,New Florence,MO,63363,United States,MarthaEGupta@gustr.com,Dephateras1992,choe1agh5X,573-835-5648,3/9/1992,Mr. AG's,38.919916,-91.37006
male,David,E,Smith,2207 Sherman Street,Menlo,KS,67746,United States,DavidESmith@jourrapide.com,Shergoidold,fah4Exae,785-855-6512,10/16/1976,Music Boutique,39.384814,-100.674859
female,Dominga,J,Sigala,175 Blair Court,Hamburg,MO,64482,United States,DomingaJSigala@superrito.com,Sprinstif63,geij9Zaiw7th,660-389-9650,3/3/1963,Exact Solutions,40.557228,-95.642469
female,Patricia,G,Wilson,1930 Blane Street,Saint Louis,MO,63108,United States,PatriciaGWilson@jourrapide.com,Drat1995,heiPo5Deiph,314-534-2788,7/13/1995,Galyan's,38.630779,-90.240035
male,Morris,J,Nichols,2423 Bruce Street,Saint Louis,MO,63101,United States,MorrisJNichols@gustr.com,Youghthears,ahQuiex9f,314-262-4115,2/21/1985,The Wall,38.597702,-90.276639
male,Steven,R,Gillespie,2236 Irving Place,O Fallon,MO,63366,United States,StevenRGillespie@armyspy.com,Thew1940,biex4Pho,636-281-4664,3/9/1940,Rolling Thunder,38.737954,-90.780399
male,Charles,L,Hain,1871 Lighthouse Drive,Pittsburg,MO,66762,United States,CharlesLHain@cuvox.de,Counale,yeiChaeb6,417-238-7019,12/3/1980,Fragrant Flower Lawn Services,37.430681,-94.709948
female,Nicole,P,Graham,4583 Traders Alley,Kansas City,MO,64105,United States,NicolePGraham@einrot.com,Moread,Aegoh7gie9U,816-332-1004,10/23/1959,Raleigh's,39.087738,-94.543461
